"tipo";"en";"fr";"japones_literal";"propuesta_1";"propuesta_2";"propuesta_3";"decision";"glosario_actual";"notas";"japones_original";"gameKeys";"usos"
"territory";"The Tower of Zot";"Tour de Zott";"Torre de Zot";"Torre de Zot";"Torre Zot";"";"Torre de Zot";"";"";"ゾットの塔";"PlaceName#3736.0,PlaceName#3890.0";"duty,map,marker,territory"
"territory";"The Twinning";"Macle de Syrcus";"Macla de Syrcus (inglés transcrito)";"La Macla";"Gemelación de Syrcus";"";"La Macla";"";"";"シルクス・ツイニング";"PlaceName#2982.0";"duty,map,marker,territory"
"territory";"The Underkeep";"Gardienne de l'Immémorial";"Fortaleza Inferior (nombre inglés transcrito)";"Fortaleza Subterránea";"Bastión Subterráneo";"";"Fortaleza Subterránea";"";"";"アンダーキープ";"PlaceName#5156.0";"duty,map,marker,territory"
"territory";"The Unmaking";"Domaine du néant";"Dominio de la nada";"La Disolución";"La Descreación";"";"Dominio de la nada";"";"";"無の領域";"PlaceName#4766.0";"duty,map,territory"
"territory";"The Vault";"La Voûte";"Sede pontificia de Ishgard";"La Bóveda";"Bóveda Sagrada";"";"La Bóveda";"";"";"イシュガルド教皇庁";"PlaceName#2327.0";"duty,map,marker,territory"
"territory";"The Voidcast Dais";"Hypercube de Golbez";"Círculo mágico cúbico";"Estrado del Vacío";"Plataforma del Vacío";"";"Estrado del Vacío";"";"";"立方魔法陣";"PlaceName#4296.0";"duty,map,territory"
"territory";"The Volcanic Heart";"Le Cœur volcanique";"Corazón Volcánico (inglés transcrito)";"Corazón Volcánico";"Corazón del Volcán";"";"Corazón Volcánico";"";"";"ヴォルカニック・ハート";"PlaceName#4091.0";"duty,map,territory"
"territory";"The Waking Sands";"Refuge des sables";"Casa de la arena";"Refugio de las Arenas";"Arenas del Despertar";"";"Refugio de las Arenas";"el Refugio de las Arenas";"";"砂の家";"PlaceName#356.0,PlaceName#472.0";"map,marker,territory"
"territory";"The Wanderer's Palace";"Palais du Vagabond";"Palacio del Vagabundo (inglés transcrito); variante con «santuario del dios viajero»";"Palacio del Vagabundo";"Palacio del Errante";"";"Palacio del Errante";"";"";"ワンダラーパレス / 旅神聖域 ワンダラーパレス";"PlaceName#37.0,PlaceName#240.0,PlaceName#1059.0";"duty,map,marker,territory"
"territory";"The Weeping City of Mhach";"Cité défendue de Mhach";"Ciudad prohibida de Mhach";"Ciudad Llorosa de Mhach";"Ciudad Doliente de Mhach";"";"Ciudad Doliente de Mhach";"";"";"禁忌都市マハ";"PlaceName#1742.0";"duty,map,marker,territory"
"territory";"The Weeping Saint";"Le Saint affligé";"Lágrimas de san Daniffen";"El Santo Lloroso";"Lágrimas del Santo";"";"El Santo Afligido";"";"";"聖ダナフェンの落涙";"PlaceName#392.0";"duty,marker,territory"
"territory";"The Whorleater";"Briseur de marées";"Catamarán contra Leviatán";"Devoravorágines";"Rompeolas";"";"El Devorador de Torbellinos";"";"";"対リヴァイアサン双胴船";"PlaceName#1334.0";"duty,map,territory"
"territory";"The Windward Wilds";"Plaines venteuses";"Páramo de la separación";"Tierras de Barlovento";"Páramos del Viento";"";"Tierras de Barlovento";"";"";"隔ての荒地";"PlaceName#5276.0";"duty,map,marker,territory"
"territory";"The World of Darkness";"Monde des Ténèbres";"Mundo de la oscuridad";"Mundo de la Oscuridad";"Mundo de las Tinieblas";"";"Mundo de la Oscuridad";"";"";"闇の世界";"PlaceName#1431.0";"duty,map,territory"
"territory";"The Wreath of Snakes";"Sanctuaire du Grand Serpent";"Gran santuario del dios serpiente";"Corona de Serpientes";"Guirnalda de Serpientes";"";"Corona de Serpientes";"";"";"蛇神大社";"PlaceName#2510.0";"duty,map,territory"
"territory";"The X-Ring";"Ring extrême";"Ring de lo Extremo (inglés transcrito)";"Cuadrilátero Extremo";"Ring Extremo";"";"Ring Extremo";"";"";"リング・オブ・エクストリーム";"PlaceName#5370.0";"duty,map,territory"
"territory";"Third Board of the Unbroken";"3e plateau";"Entrenamiento de combate de bestias: tercer tablero";"Tercer Tablero de los Invictos";"Tercer Tablero de los Indómitos";"Tercer Tablero de los Inquebrantables";"Tercer Tablero de los Inquebrantables";"Tercer Tablero de los Inquebrantables";"";"闘獣練 第三盤";"PlaceName#5599.0";"duty,map,territory"
"territory";"Thornmarch";"Lisière de ronces";"Jardín de espinos";"Linde de Espinos";"Linde Espinosa";"";"Linde de Espinos";"";"";"茨の園";"PlaceName#360.0";"duty,map,territory"
"territory";"Throne Room";"Salle du trône / Salle du trône séculaire";"Sala del trono / sala del rey";"Sala del Trono";"Salón del Trono";"";"Sala del Trono";"";"";"玉座の間 / 王の間";"PlaceName#4760.0,PlaceName#5144.0";"map,mapsub,marker,territory"
"territory";"Topmast Apartment";"Le Mât de hune (appartement)";"Mastelero: habitación";"Apartamento del Mastelero";"Apartamento del Palo de Hune";"";"Apartamento del Mastelero";"";"";"トップマスト：部屋";"PlaceName#1812.0";"map,territory"
"territory";"Topmast Apartment Lobby";"Le Mât de hune (hall)";"Mastelero: vestíbulo";"Vestíbulo de los Apartamentos del Mastelero";"Vestíbulo del Mastelero";"";"Vestíbulo de los Apartamentos del Mastelero";"";"Coordinar Topmast en vestíbulo, apartamento y nombre del edificio.";"トップマスト：ロビー";"PlaceName#1811.0";"map,territory"
"territory";"Transmission Control";"Salle de contrôle";"Sala de control de la torre de ondas de comunicación";"Control de Transmisiones";"Sala de Transmisiones";"";"Control de Transmisiones";"";"";"交信雷波塔管制室";"PlaceName#3486.0";"duty,map,territory"
"territory";"Transparency";"Transparence";"Espacio cristalizado";"Transparencia";"La Transparencia";"";"Transparencia";"";"";"結晶化空間";"PlaceName#2715.0";"duty,map,territory"
"territory";"Trial's Threshold";"Antichambre de l'épreuve";"Antesala que mide la virtud";"Umbral de la Prueba";"Antesala de la Prueba";"";"Umbral de la Prueba";"";"";"徳測りし前室";"PlaceName#3471.0";"duty,map,territory"
"territory";"Tritails Training";"Trois Queues";"Gimnasio Tres Colas (nombre inglés transcrito)";"Gimnasio Tres Colas";"Centro de Entrenamiento Tres Colas";"";"Gimnasio Tres Colas";"";"";"ジム・トライテール";"PlaceName#4655.0";"map,marker,territory"
"territory";"Twin Adder Barracks";"Caserne de l'ordre des Deux Vipères";"Cuartel de la orden de las serpientes gemelas";"Cuartel de las Dos Víboras";"Barracones de las Dos Víboras";"";"Cuartel de las Dos Víboras";"";"";"双蛇党兵舎";"PlaceName#1800.0";"map,marker,territory"
"territory";"Ul'dah - Steps of Nald";"Ul'dah - Faubourg de Nald";"Ul'dah: corredor de Nald";"Ul'dah: Pasos de Nald";"Ul'dah: Galería de Nald";"Ul'dah: Barrio de Nald";"Ul'dah - Escalinatas de Nald";"";"";"ウルダハ：ナル回廊";"PlaceName#40.0";"aetheryte,duty,map,marker,territory"
"territory";"Ul'dah - Steps of Thal";"Ul'dah - Faubourg de Thal";"Ul'dah: corredor de Thal";"Ul'dah: Pasos de Thal";"Ul'dah: Galería de Thal";"Ul'dah: Barrio de Thal";"Ul'dah - Escalinatas de Thal";"";"";"ウルダハ：ザル回廊";"PlaceName#41.0";"duty,map,marker,territory"
"territory";"Ultimacy";"Fantasmagorie d'Ultima";"Fantasía prohibida";"Ultimidad";"Fantasía de Ultima";"";"Fantasía de Ultima";"";"";"禁絶幻想";"PlaceName#2449.0";"duty,map,territory"
"territory";"Unmoored Isle";"Île flottante sans nom";"Isla flotante sin nombre";"Isla a la Deriva";"Isla sin Amarras";"";"Isla a la Deriva";"";"";"名もなき浮島";"PlaceName#4963.0";"duty,map,territory"
"territory";"Unnamed Island";"Île sans nom";"Isla sin nombre";"Isla sin Nombre";"Isla Anónima";"";"Isla sin Nombre";"";"";"名もなき島";"PlaceName#4043.0,PlaceName#5531.0";"map,territory"
"territory";"Upper Aetheroacoustic Exploratory Site";"Site impérial d'exploration supérieur";"Galería de exploración del Meteoro: zona superficial";"Zona Superior de Exploración Eteroacústica";"Yacimiento Superior de Exploración Eteroacústica";"";"Zona Superior de Exploración Eteroacústica";"";"";"メテオ探査坑浅部";"PlaceName#464.0";"duty,map,territory"
"territory";"Upper La Noscea";"Haute-Noscea";"Tierras altas de La Noscea";"Alta La Noscea";"Tierras Altas de La Noscea";"";"Alta La Noscea";"las Tierras Altas de La Noscea";"";"高地ラノシア";"PlaceName#34.0";"duty,map,marker,territory"
"territory";"Vanguard";"L'Avant-garde";"Vanguardia (inglés transcrito)";"Vanguardia";"La Vanguardia";"";"Vanguardia";"la Vanguardia";"";"ヴァンガード";"PlaceName#4677.0,PlaceName#4909.0";"duty,map,marker,territory"
"territory";"Vault Oneiron";"Coffre d'Oneiron";"Cámara de Oneiron (inglés transcrito)";"Cámara de Oneiron";"Bóveda de Oneiron";"";"Cámara de Oneiron";"";"";"ボルト・オネイロン";"PlaceName#5297.0";"duty,map,territory"
"territory";"Void Ark";"Arche du néant";"Navío mágico Arca del Vacío";"Arca del Vacío";"Arca del Abismo";"";"Arca del Vacío";"";"";"魔航船ヴォイドアーク";"PlaceName#2181.0";"duty,map,marker,territory"
"territory";"Western La Noscea";"Noscea occidentale";"La Noscea occidental";"La Noscea Occidental";"Oeste de La Noscea";"";"La Noscea Occidental";"la Noscea Occidental";"";"西ラノシア";"PlaceName#33.0";"duty,map,marker,territory"
"territory";"Western Thanalan";"Thanalan occidental";"Thanalan occidental";"Thanalan Occidental";"Oeste de Thanalan";"";"Oeste de Thanalan";"";"";"西ザナラーン";"PlaceName#42.0";"duty,map,marker,territory"
"territory";"Windurst: The Third Walk";"Windurst - La troisième perambulation";"Windurst: Tercer Paseo (inglés transcrito)";"Windurst: Tercera Travesía";"Windurst: Tercer Recorrido";"";"Windurst: Tercera Travesía";"";"";"ウィンダス：ザ・サードウォーク";"PlaceName#5510.0";"duty,map,marker,territory"
"territory";"Wolves' Den Pier";"Jetée de l'Antre des loups";"Embarcadero de la Cárcel de los Lobos";"Muelle de la Guarida de los Lobos";"Embarcadero de la Lobera";"";"Muelle de la Guarida de los Lobos";"";"";"ウルヴズジェイル係船場";"PlaceName#358.0";"aetheryte,duty,map,marker,territory"
"territory";"Zero's Domain";"Territoire de Zero";"Dominio de Zero";"Dominio de Zero";"Territorio de Zero";"";"Dominio de Zero";"";"";"ゼロの領域";"PlaceName#4038.0";"map,marker,territory"
"territory";"Zirgorteh the Open-armed";"Autel de Zirgorteh";"Altar de Zirgorteh";"Zirgorteh de los Brazos Abiertos";"Zirgorteh el Acogedor";"Zirgorteh el de los Brazos Abiertos";"Zirgorteh el Acogedor";"Zirgorteh el de los Brazos Abiertos";"";"ジィゴーテー拝壇";"PlaceName#4949.0";"map,territory"
"territory";"Zorgor the Boundless";"Traverse de Zorgor";"Puente de la unión eterna de Zorgor";"Zorgor el Infinito";"Zorgor sin Límites";"";"Zorgor el Infinito";"";"";"ゾーゴー永結橋";"PlaceName#4526.0";"duty,map,marker,territory"
